userID,userName,userFollows,userFans,userVideos
517102533,想退休的W,397,39187,15
11170810,沾花惹草木,395,155350,34
1958342,水无月菌,110,2200476,195
533459953,刘庸干净又卫生,3,3898852,280
37663924,硬核的半佛仙人,389,6716778,266
1091065001,赵鹏,7,139743,4
23947287,小约翰可汗,334,4356370,94
16206007,vivi可爱多,137,2218763,254
7212583,设计师深海,375,1363860,53
400230277,水果猎人杨晓洋,10,1194519,210
1838326986,帅农鸟哥,13,2643953,37
3670216,TF家族,3,4749140,1243
440209020,-柠檬猹-,344,11086,13
3530725,陈抱一,1983,1007326,132
122879,敖厂长,18,7562612,411
1886758040,守望先锋,116,151458,55
448019333,也就那点事儿-,16,1472463,26
410682880,hello刘小备,11,428686,38
927587,木鱼水心,70,8818431,1182
431073645,你的影月月,81,1189322,563
1968595,鹦鹉梨,92,1331483,202
161775300,明日方舟,3,4558739,200
402978061,陆仙人哦,23,644054,261
508416316,本喵叫兔兔,40,1420665,210
534952028,RobLandesMusic,6,848273,84
37663924,硬核的半佛仙人,389,6716781,266
19642758,力元君,421,3764597,400
169396487,桥北小书生,57,36953,43
451076763,UnicornPhantom,151,117037,19
546195,老番茄,1,17268170,415
18202105,绵羊料理,147,9553384,333
5970160,小潮院长,99,7653232,267
99157282,盗月社食遇记,609,6839295,484
517327498,罗翔说刑法,13,22735476,253
662908408,aiFei小朋友,8,21439,8
5818410,芦苇十三少,165,1401560,147
63231,泛式,463,4652605,234
1838326986,帅农鸟哥,13,2643959,37
18343098,河野华,150,694375,35
35982454,咕咕咕咕叽歪,246,29825,24
285571498,盖里老哥,45,1524051,302
316567547,美尼尔动画君,336,546227,54
162827591,攀升电脑,23,37133,36
624757844,一只大哈鱼,149,1190367,83
1207265987,___viv___,524,310080,2
553425,拯救世界的狗子,401,1029936,295
11527656,飞来MarsFly,184,28426,66
274459325,方山厨子,106,540149,154
282994,泠鸢yousa,211,3256835,253
266248587,Cheems和流泪猫猫头,166,111888,145
224521126,Licky-QY,195,6226,26
53456,Warma,1189,3471573,204
1066116711,糖霜饼干的奇妙物语,5,164468,85
317783104,超正经的小李,153,364036,7
39012132,RockyRoo,192,229460,186
349888821,KleinerPixel,3,1033009,97
1163567538,呆瓜混剪,16,5933,76
502673952,黄正极,12,297193,335
104250187,爱喝白粥的小王,156,11852,4
927587,木鱼水心,70,8818431,1182
480959917,良田田田,17,747631,81
18364636,SDARK,112,220865,16
583158574,王天霸是只猫,6,369751,264
437957199,RAY的模型世界,139,847135,42
470629446,星火少年狼,146,78711,67
15493212,楚世修_,171,49439,23
11164088,龙馍馍,460,1394202,300
17604510,親爱的夏,54,310786,145
99440780,南鸽一只,203,152748,78
1020040160,永琪吗,67,945994,57
581418572,明sir反骗局,32,132022,120
1131457022,人民日报,22,4618474,1086
21979556,你的硬币是我dio哒,31,554522,302
11870568,拉宏桑,248,2971606,293
590490400,克里米亚野生动物园,20,1711281,1053
330415548,谭乔,43,3744750,353
1838326986,帅农鸟哥,13,2643964,37
1528617278,演员李广奇,7,792857,4
18202105,绵羊料理,147,9553385,333
296092268,碎嘴企鹅,44,330960,59
5294454,逗比的雀巢,177,5261158,88
4878171,离忧先生,666,117030,63
267702087,海若W,154,64221,97
