Num_Acc,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma
201900000074,4,ROUSSEAU (RUE GEORGES),0,,2,0,0,1,0,0,1,,,1,0,1,50
201900000075,4,DOUX   CHEMIN DU PUITS,0,,NaN,2,0,2,1,0,2,,,2,0,1,30
201900000076,4,MONNET (AVENUE JEAN),0,,2,2,0,1,1234,0,1,,,1,0,1,50
201900000077,3,970,0,,2,0,0,1,1,0,1,,,2,0,1,80
201900000078,4,SCHLOESING (BOULEVARD),0,,2,6,3,1,0,0,1,,,1,0,1,50
201900000079,4,Corniche John Fitzgérald Kennedy,0,,2,2,0,1,0,0,1,,,1,0,1,50
201900000080,6,LOUVAIN (BOULEVARD DE),0,,2,2,0,1,0,0,1,,,1,0,1,30
201900000081,3,202,,,2,2,0,1,6,280,2,,,2,0,3,80
201900000082,3,15,,,2,2,0,1,25,500,1,,,1,0,3,80
201900000083,3,519,0,B,2,2,0,1,0,269,1,,,1,0,1,80
201900000084,4,,0,,2,2,0,1,NaN,NaN,1,,,1,0,1,80
201900000085,3,936,0,,2,1,0,1,13,420,1,,,1,0,1,50
201900000086,3,8,0,,2,2,0,2,19,500,3,,,1,0,1,50
201900000087,4,,,,1,1,0,1,NaN,NaN,1,,,1,0,1,50
201900000088,3,44,,,2,2,0,1,6,NaN,3,,,1,0,3,80
201900000089,3,969,0,D,2,2,0,1,4,200,2,,,1,0,3,80
201900000090,3,935,0,,2,2,0,1,15,500,1,,,2,0,1,80
201900000091,3,62,,,2,2,0,1,NaN,NaN,3,,,1,0,3,80
201900000092,2,315,0,,3,2,0,1,1,299,1,,,1,0,1,50
201900000093,1,13,0,,1,8,0,1,49,0,1,,,1,0,1,70
201900000094,2,12,0,,1,3,0,2,18,600,1,,,1,0,1,90
201900000095,1,86,0,,1,2,0,1,7,300,1,,,1,0,1,90
201900000096,1,1,0,,1,1,0,2,11,949,2,,,1,0,1,50
201900000097,1,15,0,,3,8,0,1,13,199,1,,,1,0,1,110
201900000098,1,86,0,,3,10,0,1,15,500,1,,,1,2,1,90
201900000099,1,3,0,,3,6,0,1,9,0,1,,,1,0,1,110
201900000100,1,1,0,,3,9,0,1,20,399,1,,,1,1,1,90
201900000101,1,86,0,INT,3,3,0,1,41,799,1,,,1,0,1,90
201900000102,4,JOSEPH LAMBERT (RUE),0,,2,2,0,1,1,0,2,,,1,0,1,50
201900000103,4,MEUNIERS (RUE DES),0,,2,2,0,1,0,0,1,,,1,0,1,50
201900000104,7,2009,0,,2,4,0,1,NaN,NaN,1,,,1,9,1,50
201900000105,4,PARC (AVENUE DU),0,,2,2,0,1,0,0,1,,,1,0,1,50
201900000106,7,5,0,,2,2,0,1,NaN,NaN,1,,,1,0,1,50
201900000107,4,SOUS LES VIGNES (RUE),0,,2,2,0,1,NaN,NaN,1,,,1,0,1,50
201900000108,4,LAVOISIERS (BD),0,,2,2,0,1,NaN,NaN,1,,,1,0,1,50
201900000109,4,REPUBLIQUE (AVE DE LA ),0,,3,3,1,1,0,0,1,,,1,0,1,50
201900000110,4,VALENCIENNES,0,,1,1,0,1,1,0,1,,,1,5,2,50
201900000111,3,906,0,,2,2,0,2,0,0,1,,,1,0,1,50
201900000112,4,NORMANDIE  ( RUE DE ),0,,NaN,2,0,1,0,0,1,,,1,0,1,50
201900000113,4,BOIS DE NEFLES (ROUTE DE),0,,2,0,0,2,0,0,3,,,1,0,1,50
201900000114,6,BONNIER (ALLEE),0,,NaN,1,0,2,0,0,2,,,1,1,1,30
201900000115,4,HOARAU (RUE MARCEL),0,,NaN,2,0,2,0,0,1,,,1,0,1,50
201900000116,4,DU CENTRE(CHEMIN),0,,2,1,0,1,0,0,1,,,1,0,1,50
201900000117,3,3,0,,2,2,0,1,2,0,1,,,1,0,1,50
201900000118,4,ALFRED NOBEL                            ,0,,1,1,0,1,1,0,1,,,1,9,1,50
201900000119,3,486,0,,NaN,2,0,1,0,0,1,,,1,0,1,50
201900000120,2,22,0,,NaN,2,0,1,NaN,NaN,1,,,1,0,1,50
201900000121,4,GENERAL  LECLERC (RUE DU),0,,2,1,0,1,0,0,1,,,1,0,1,50
201900000122,2,7,0,,2,5,0,1,NaN,NaN,1,,,1,0,1,50
201900000123,4,RESISTANCE (RUE DE LA),0,,1,1,0,2,NaN,NaN,4,,,1,3,1,50
201900000124,4,RANSON (RUE LOUIS CASIMIR),0,,2,2,0,1,0,0,1,,,1,5,1,50
201900000125,3,941,0,,4,4,0,1,35,505,1,,,1,5,1,50
201900000126,3,29,0,,4,3,0,1,3,0,1,,,1,0,1,50
201900000127,4,ROUSSEAU (RUE JEAN JACQUES),0,,2,2,0,1,0,0,1,,,1,0,1,50
201900000128,4,CHASSEIGNE (BOULEVARD),0,,3,4,0,1,0,0,1,,,1,0,1,50
201900000129,4,C.De GAULLE (Rocade),0,,2,2,0,2,0,1,1,,,1,0,1,50
201900000130,4,PERROUD (AVE CONSTANT),0,,3,2,0,2,0,0,1,,,1,0,1,50
201900000131,4,,0,,1,2,0,1,0,0,1,,,1,0,1,50
201900000132,3,113,0,,2,1,0,1,58,130,1,,,1,0,1,50
201900000133,9,JEAN JAURES (AVENUE),0,,1,1,3,1,0,0,3,,,1,9,3,30
201900000134,3,934,0,,2,2,0,1,16,748,1,,,1,5,3,80
201900000135,3,925,0,,1,2,0,1,97,950,1,,,1,0,1,50
201900000136,4,LIBERATION (AVENUE DE LA),0,,2,2,0,1,0,0,1,,,1,5,1,50
201900000137,4,RHONE (AVENUE DU),0,,3,4,2,2,0,0,3,,,1,5,1,50
201900000138,7,BARBUSSE HENRI (RUE),0,,2,2,0,1,0,0,1,,,1,0,1,50
201900000139,4,HEYRIEUX (D')                       (RO),0,,2,2,0,1,0,0,1,,,1,0,1,50
201900000140,9,LAURENT BONNEVAY          (SQ),0,,2,1,0,1,0,0,1,,,1,0,1,50
201900000141,3,317,0,,2,2,0,1,2,700,1,,,1,0,1,50
201900000142,4,RHIN (AVENUE DU),0,,2,2,0,1,0,0,1,,,1,2,1,50
201900000143,4,KLEBSAU (RUE DE LA),0,,2,2,1,1,0,0,2,,,1,0,1,50
201900000144,4,BISCHWILLER (ROUTE DE),0,,2,3,0,1,0,0,1,,,1,0,1,50
201900000145,4,PRESIDENT POINCARE (RUE DU),0,,2,2,1,1,1,0,1,,,1,0,1,50
201900000146,4,FLANDRES/DUNKERQUE (CARREFOUR),0,,3,1,0,1,0,0,1,,,1,0,1,50
201900000147,4,PLAISANCE DE,0,,2,2,0,1,0,0,1,,,1,0,1,30
201900000148,4,BAYONNE DE,0,,2,3,3,1,0,0,1,,,1,0,1,50
201900000149,3,560,0,D,2,2,0,1,35,460,3,,,1,0,1,80
201900000150,3,12,0,,2,2,0,1,19,205,1,,,1,0,1,70
201900000151,3,932,0,,1,1,0,1,27,950,2,,,1,0,1,50
201900000152,3,33,,,2,2,0,1,3,545,1,,,1,5,1,70
201900000153,3,936,,,2,2,0,1,61,700,1,,,1,0,1,80
201900000154,3,410,,,2,2,0,1,2,185,1,,,1,0,4,50
201900000155,3,211,0,,2,2,0,1,18,535,1,,,1,0,1,30
201900000156,3,651,,,2,2,0,3,2,500,2,,65,1,0,1,80
201900000157,9,,,,2,2,0,1,NaN,NaN,1,,,1,8,1,50
201900000158,3,439,,,2,2,0,1,4,50,1,,,1,0,3,80
201900000159,6,960,0,,NaN,2,0,1,19,900,1,,,1,9,8,20
201900000160,3,46,0,,2,2,0,1,NaN,NaN,1,,,7,0,1,NaN
201900000161,3,27,0, -,2,2,0,1,20,500,1,,,1,9,1,80
201900000162,2,141,,,2,2,0,2,12,455,1,0,7,1,0,1,80
201900000163,3,699,,,4,2,0,2,10,560,1,0,5.79999999999999,1,0,1,50
201900000164,3,578,0,A,2,2,0,1,20,600,2,,,1,0,1,80
201900000165,3,120,0,D,2,2,0,1,37,800,2,,,1,0,1,80
201900000166,4,,0,,2,2,0,2,NaN,NaN,2,,,1,0,8,80
201900000167,3,270,0,,2,2,0,1,9,950,2,,,1,2,3,80
201900000168,4,,,,2,2,0,1,NaN,NaN,1,,,1,0,1,50
201900000169,3,903,,,2,2,0,1,4,200,1,,,1,0,1,80
201900000170,3,16,0,,2,2,0,1,24,600,1,,,1,2,4,80
201900000171,3,932,,,2,2,0,1,22,400,1,,,1,0,1,80
201900000172,2,21,,,2,2,0,1,21,NaN,1,,,1,0,1,70
201900000173,3,4085,0,,2,2,0,1,13,0,2,,,1,5,1,80
201900000174,4,Imp Jean Mermoz,0,,2,2,0,1,0,0,1,,,1,0,1,50
201900000175,3,8,0,,2,2,0,1,32,300,2,,,1,0,3,80
201900000176,3,752,0,,2,3,0,1,19,635,1,,,1,0,1,80
201900000177,4,Rue des Chardonnerets,,,2,2,0,1,0,0,1,,,1,0,3,80
201900000178,3,61,0,,2,2,0,1,33,200,1,,,1,0,1,80
201900000179,3,920,0,,2,2,0,1,12,700,2,,,1,0,3,70
201900000180,3,928,,,2,2,0,3,35,670,1,,,1,0,1,70
201900000181,3,153.4,,,2,2,0,1,9,450,1,,,1,0,1,80
201900000182,3,32,0,,2,1,0,4,20,63,1,,,1,0,1,80
201900000183,3,730,,D,2,2,0,2,NaN,NaN,3,,,1,0,1,50
201900000184,3,731,0,,2,2,0,1,28,100,1,,,1,0,1,70
201900000185,3,115,,,2,2,0,1,0,500,2,,,1,0,3,80
201900000186,4,,,,2,2,0,1,NaN,NaN,1,,,1,0,1,50
201900000187,3,19,0,D,2,2,0,1,16,950,3,,,1,0,1,70
201900000188,3,2,,,2,2,0,2,7,100,1,,,1,0,1,80
201900000189,4,,,,2,2,0,1,1,0,1,,,1,0,1,50
201900000190,2,1,0,,2,2,0,1,8,500,1,,,1,0,1,70
201900000191,1,29,,,1,2,0,2,198,NaN,1,,,1,0,2,110
201900000192,2,1029,,,3,4,1,2,3,200,1,,,1,2,5,70
201900000193,1,16,,,1,4,3,3,59,850,1,,,1,0,1,130
201900000194,1,35,,,1,4,0,1,231,900,1,,,1,0,1,130
201900000195,1,35,0,,1,4,0,1,231,600,1,,,1,0,1,90
201900000196,3,263,0,D,2,3,0,1,4,840,1,,,1,5,1,50
201900000197,4,,,,1,1,0,1,NaN,NaN,1,,,1,9,1,50
201900000198,4,chemin saulou,0,,2,2,0,1,NaN,NaN,2,,,1,0,3,80
201900000199,1,660,,,3,4,0,1,16,850,1,,,1,0,1,NaN
201900000200,1,63,,,3,4,0,1,21,150,1,,,1,0,1,130
201900000201,1,4,0,A,3,4,0,3,102,800,1,,,1,0,3,130
201900000202,2,3,0,N,2,2,0,1,NaN,NaN,1,,,1,0,1,70
201900000203,3,761,,,2,2,0,1,1,230,1,,,1,0,1,80
201900000204,1,63,0,,1,1,0,2,174,0,2,,,1,3,2,30
201900000205,3,65,,,2,2,0,1,11,800,1,,,1,2,1,70
201900000206,1,9,,A,2,3,0,1,185,200,1,,,1,0,2,130
201900000207,1,10,0,,3,2,0,1,460,200,1,,,1,0,3,130
201900000208,1,7,0,A,1,1,0,1,172,200,3,,,1,3,1,50
201900000209,1,8,0,A,3,3,0,1,1,120,3,,,1,3,1,90
201900000210,2,420,,,2,2,0,2,NaN,NaN,2,,,1,0,8,50
201900000211,2,1,,,2,2,0,1,44,500,1,,,2,0,1,90
201900000212,6,,0,,2,2,0,2,NaN,NaN,1,,,1,0,3,50
201900000213,3,9,0,,2,2,0,1,29,620,1,,,1,2,1,NaN
201900000214,2,4,,,2,2,0,4,7,0,2,,,1,0,1,70
201900000215,3,7,,R,2,2,0,1,72,500,1,,,1,0,1,80
201900000216,3,123,,,2,2,0,1,0,800,1,,,1,0,1,80
201900000217,3,751,0,D,2,2,0,1,76,NaN,1,,,1,0,1,80
201900000218,3,90,,E,2,2,0,1,4,118,1,,,1,5,1,50
201900000219,3,603,0,,2,2,0,1,40,360,3,,,1,5,1,50
201900000220,4,,,,2,2,0,1,NaN,NaN,1,,,1,0,1,50
201900000221,4,,0,,2,2,0,1,NaN,NaN,1,,,1,0,1,50
201900000222,4,,0,,2,2,0,4,NaN,NaN,3,,,1,0,1,30
201900000223,3,58,,,2,2,0,1,1,740,1,,,1,9,1,50
201900000224,3,91,0,D,2,2,0,1,15,210,1,,,1,0,1,80
201900000225,3,915,,,2,2,0,1,75,900,1,,,1,0,1,80
201900000226,2,20,,,2,2,0,1,NaN,NaN,1,,,1,0,1,70
201900000227,3,38,,,2,2,0,3,NaN,NaN,1,,,1,0,1,70
201900000228,4,0,0,,NaN,2,0,1,NaN,NaN,1,,,9,0,3,80
201900000229,3,162,0,E,2,2,0,1,1,625,1,,,1,0,3,80
201900000230,3,146,,,2,2,0,1,40,40,2,,,1,5,1,80
201900000231,4,rue du golfe Barbareu,,,2,2,0,1,NaN,NaN,1,,,1,5,1,50
201900000232,4,Rue Alsace Lorraine,0,,1,1,0,1,NaN,NaN,1,,,1,5,1,50
201900000233,6,10,,N,NaN,NaN,0,1,19,0,4,,,1,9,8,50
201900000234,2,141,0,,2,2,0,2,74,280,2,0,7,1,9,1,70
201900000235,3,117,,,2,2,0,1,0,80,1,0,4.79999999999999,1,0,1,50
201900000236,3,1,0,,2,2,0,1,87,900,1,,,1,0,1,80
201900000237,3,82,0,,2,2,0,2,9,NaN,2,,,1,0,3,80
201900000238,4,AVENUE CHARLES MOUREU,0,,2,2,0,1,NaN,NaN,1,,,2,0,1,50
201900000239,4,,,,2,2,0,1,NaN,NaN,1,,,1,0,1,50
201900000240,1,64,0,,3,2,0,1,0,0,1,,,2,3,1,70
201900000241,3,1215,,,2,2,0,1,32,600,1,,,1,0,1,80
201900000242,3,6000,3,E,2,2,0,1,1,0,1,,,1,9,1,50
201900000243,3,222,,,2,2,0,1,2,872,1,,,1,0,1,80
201900000244,3,18,,,2,2,0,1,32,536,3,,,2,0,1,50
201900000245,3,651,,,2,2,0,2,8,200,4,,,1,0,1,50
201900000246,3,115000000,0,E,2,2,0,1,3,35,3,,,1,0,1,50
201900000247,3,242,0,,2,2,0,1,2,202,1,,,1,9,1,80
201900000248,4,9,,,2,2,0,1,NaN,NaN,1,,,2,0,1,50
201900000249,3,250,0,,2,2,0,1,0,312,2,,,1,0,1,50
201900000250,4,Route de Castelnau,0,,2,2,0,1,NaN,NaN,1,,,1,0,3,80
201900000251,4,Allée de la Briqueterie,,,2,2,0,1,NaN,NaN,1,,,2,0,4,50
201900000252,3,32,0,,2,2,0,1,32,0,1,,,1,0,1,80
201900000253,3,53,0,,2,2,0,1,18,305,3,,,1,0,1,50
201900000254,3,323,0, -,2,2,0,1,NaN,NaN,1,,,1,0,1,50
201900000255,2,249,0,N,3,4,0,2,20,600,2,,,1,0,3,110
201900000256,2,249,0,,3,4,3,1,11,100,1,,,1,0,1,110
201900000257,4,,,,1,1,0,1,NaN,NaN,2,,,1,0,1,30
201900000258,4,,,,2,2,0,1,NaN,NaN,1,,,1,0,1,50
201900000259,3,104,0,D,2,2,0,1,5,900,2,,,1,0,3,80
201900000260,4,,0,,2,2,0,1,NaN,NaN,2,,,1,0,3,30
201900000261,7,209,0,,2,2,0,1,NaN,NaN,1,,,1,5,1,80
201900000262,3,1,,,2,2,0,3,14,100,2,,,1,5,3,70
201900000263,3,51,,,2,2,0,1,1,0,1,,,2,0,1,80
201900000264,3,39,0,,2,2,0,1,3,740,2,,,1,0,3,80
201900000265,9,,0,,2,2,0,1,0,0,1,,,1,0,1,50
201900000266,3,187,,,2,2,0,2,70,0,1,,,2,0,1,80
201900000267,3,613,,,2,2,0,1,NaN,NaN,1,,,1,0,1,80
201900000268,3,514,,,2,2,0,1,13,0,1,,,1,0,1,70
201900000269,2,158,,,3,4,0,1,12,500,1,,,1,0,2,110
201900000270,3,17,,,2,2,0,1,4,973,1,,,1,0,1,50
201900000271,3,45,0,,2,2,0,1,3,800,1,,,1,0,1,50
201900000272,2,165,0,,3,4,0,1,44,500,1,,,1,0,3,110
201900000273,3,765,,,2,2,0,1,77,280,3,,,1,0,1,80
201900000274,3,6,,,2,2,0,1,43,900,1,,,1,0,3,80
201900000275,3,21,0,,2,2,0,1,25,500,1,,,1,0,1,50
201900000276,3,767,0,,2,2,0,1,18,130,4,,,1,0,1,80
201900000277,4,,,,2,2,0,1,NaN,NaN,1,,,2,0,1,80
201900000278,4,,0,,2,2,0,1,NaN,NaN,1,,,1,0,1,50
201900000279,4,,,A,2,2,0,2,NaN,NaN,1,,,1,0,3,80
201900000280,4,1,0,A,2,2,0,1,0,0,1,,,1,0,1,50
201900000281,3,46,,,2,2,0,1,19,1750,2,,,1,0,3,80
201900000282,3,786,,,2,2,0,1,NaN,NaN,2,,,1,0,1,50
201900000283,3,14,0,,2,2,0,1,16,1000,1,,,1,0,1,80
201900000284,4,14,0,,2,2,0,1,0,0,2,,,1,0,1,80
201900000285,4,,0,,2,2,0,1,NaN,NaN,1,,,1,0,3,80
201900000286,3,39,0,,2,2,0,3,8,200,3,,,1,0,3,80
201900000287,3,873,0,,2,2,0,1,7,700,1,,,1,5,4,70
201900000288,3,113,0,,2,2,0,1,13,950,1,,,9,8,3,50
201900000289,3,794,0,,2,2,0,2,40,500,1,,,1,0,3,50
201900000290,2,24,,,3,4,0,1,5,750,1,,,1,0,1,110
201900000291,3,77,0,D,2,2,0,1,NaN,NaN,1,,,1,9,3,70
201900000292,3,321,0,,3,4,0,2,5,400,1,,,1,5,1,50
201900000293,3,71,0,,2,2,0,2,30,900,3,,,1,0,5,50
201900000294,3,1,0,,2,2,0,1,NaN,NaN,1,,,1,0,1,80
201900000295,3,135,,,2,2,0,1,10,600,1,,,1,0,3,80
201900000296,3,57,,,2,2,0,2,12,NaN,2,,,1,0,3,80
201900000297,3,830,,,2,2,0,1,15,300,2,,,1,5,1,80
201900000298,3,929,,,2,2,0,1,51,500,3,,,1,9,8,80
201900000299,2,2,,,2,4,0,1,7,500,1,,,2,0,1,110
201900000300,3,98,,,2,2,0,1,24,600,2,,,1,0,8,80
201900000301,3,137,,,2,2,0,2,18,0,1,,,1,0,1,70
201900000302,3,916,0,A,2,2,0,1,2,400,1,,,2,0,1,50
201900000303,2,31,,,3,4,0,1,37,900,1,,,1,0,1,110
201900000304,3,943,,,3,2,0,1,NaN,NaN,2,,,1,0,3,70
201900000305,3,75,0,D,2,2,0,4,27,28,1,,,1,0,1,50
201900000306,4,SCHIRMECK (ROUTE DE),0,,2,3,1,1,0,0,1,,,1,0,1,50
201900000307,4,DOCTEUR NETTER (RUE DU),0,,2,2,0,1,0,0,1,,,1,0,1,50
201900000308,4,BURKEL (ROUTE),0,,2,2,0,1,0,0,1,,,1,9,1,30
201900000309,4,JEAN JAURES (AVENUE),0,,3,6,3,1,0,0,2,,,1,4,1,50
201900000310,4,GOUJON (RUE DU),0,,2,2,0,1,0,0,1,,,1,0,1,50
201900000311,3,29,0,,2,2,0,1,2,500,1,,,1,0,1,80
201900000312,4,DESNOYE (BOULEVARD DR. JOSEPH),0,,1,1,0,1,0,0,2,,,1,0,1,50
201900000313,3,900,0,A,3,0,0,1,4,100,1,,,1,0,1,110
201900000314,4,LARRAMENDY PIERRE (AVENUE),0,,2,2,0,1,0,0,3,,,1,0,1,50
201900000315,4,THIERS ADOLPHE (BOULEVARD),0,,2,2,0,1,0,0,1,,,1,0,1,50
201900000316,3,918,0,,2,2,0,1,0,0,1,,,1,0,3,50
201900000317,4,POULOU JEAN  (AVENUE),0,,2,2,0,1,0,0,1,,,1,0,1,50
201900000318,4,LECLERC (BOULEVARD DU GENERAL),0,,2,2,0,1,11,500,2,,,1,0,1,30
201900000319,4,LILAS DES,0,,2,2,0,1,18,NaN,1,,,1,0,1,50
201900000320,4,JEAN DE LA FONTAINE,0,,2,1,0,2,0,0,3,,,1,0,1,15
201900000321,4,VALERY MEUNIER,0,,1,2,0,1,0,0,1,,,2,0,1,30
201900000322,4,PRINGLE (RUE),0,,NaN,0,0,1,0,0,1,,,2,0,1,50
201900000323,4,COSTES (RUE DIEUDONNE),0,,2,2,0,1,NaN,NaN,1,,,1,0,1,50
201900000324,7,LEON GARET (RUE),0,,1,1,0,1,0,0,1,,,1,0,1,50
201900000325,4,HAUT PONT (QUAI DU....),0,,2,2,0,1,0,0,2,,,1,1,1,50
201900000326,3,166,0,,2,2,0,1,0,0,2,,,2,0,1,50
201900000327,4,SAINT-EXUPERY (RUE DE)_SUD,0,,2,2,0,1,NaN,NaN,1,,,1,9,1,50
201900000328,7,JUILLET (RUE JULES),0,,1,1,0,1,0,0,1,,,1,0,1,50
201900000329,4,25ème RGA,0,,1,2,0,1,0,1,2,,,1,5,1,50
201900000330,2,31,0,,NaN,0,0,1,7,0,1,,,1,0,1,50
201900000331,4,NATIONS UNIES (AVENUE DES),0,,2,2,0,1,0,0,1,,,1,0,1,50
201900000332,7,941,0,,2,2,2,1,0,0,1,,,1,9,1,50
